State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
Alabama,0,1025,0.94,56,0,14,70
Alabama,0,1117,1.01,61,0,10,71
Alabama,0,1094,1.01,76,0,0,82
Alabama,0,1097,1.01,68,0,0,73
Alabama,0,1161,1.12,63,0,14,77
Alabama,0,1053,1.01,58,0,13,71
Alabama,0,1090,1.01,61,0,0,68
Alabama,0,1057,1.03,71,0,0,79
Alabama,23,1072,1.05,68,0,0,92
Alabama,49,1153,1.12,65,11,0,106
Alabama,81,1133,1.11,85,27,0,143
Alabama,89,1141,1.16,94,26,0,157
Alabama,83,1137,1.13,77,19,0,142
Alabama,81,1147,1.16,87,26,0,143
Alabama,116,1168,1.16,94,34,0,176
Alabama,94,1146,1.15,89,30,0,154
Alabama,79,1150,1.17,82,23,0,138
Alabama,103,1105,1.13,95,30,0,169
Alabama,90,1166,1.16,86,32,0,145
Alabama,81,1134,1.2,76,29,0,128
Alabama,88,1084,1.11,78,25,0,141
Alabama,102,1148,1.23,83,30,0,155
Alabama,120,1196,1.21,93,47,0,166
Alabama,133,1252,1.26,95,36,0,192
Alabama,191,1284,1.34,102,45,0,248
Alabama,247,1325,1.42,133,87,0,293
Alabama,261,1355,1.4,157,94,0,325
Alabama,261,1363,1.41,133,86,0,309
Alabama,228,1293,1.36,140,83,0,285
Alabama,207,1288,1.38,117,64,0,260
Alabama,181,1200,1.26,129,70,0,240
Alabama,153,1201,1.24,110,58,0,205
Alabama,136,1220,1.27,108,49,0,195
Alabama,136,1167,1.22,96,45,0,187
Alabama,103,1161,1.17,76,30,0,149
Alabama,107,1077,1.13,90,36,0,161
Alabama,132,1162,1.23,102,49,0,186
Alabama,118,1135,1.16,85,40,0,163
Alabama,111,1076,1.11,97,34,0,175
Alabama,117,1036,1.09,95,41,0,171
Alabama,124,1015,1.02,88,42,0,170
Alabama,107,880,0.85,86,41,0,152
Alabama,35,457,0.45,29,0,0,56
Alabama,,43,0.04,0,0,0,10
Alaska,0,85,0.95,0,0,0,
Alaska,0,92,1.23,,0,0,
Alaska,0,89,1.02,0,0,0,0
Alaska,0,83,1.02,,0,0,
Alaska,0,84,1,,0,0,
Alaska,0,79,0.92,,0,0,
Alaska,0,92,1.09,,0,0,
Alaska,0,69,0.87,,0,0,
Alaska,,85,0.99,10,0,0,11
Alaska,,98,1.13,,0,0,
Alaska,,83,0.96,,0,0,
Alaska,,80,1.03,,0,0,
Alaska,0,61,0.78,,0,0,
Alaska,0,87,0.98,,0,0,
Alaska,,89,1.14,,0,0,
Alaska,0,83,1.08,,0,0,
Alaska,0,82,1.06,,0,0,
Alaska,0,97,1.34,,0,0,
Alaska,0,78,0.92,,0,0,
Alaska,,88,1.07,,,0,
Alaska,0,92,1.08,,0,0,
Alaska,0,88,1.14,,0,0,
Alaska,,84,1,,0,0,
Alaska,,100,1.13,,,0,
Alaska,,88,1.17,,,0,
Alaska,,92,1.28,,,0,
Alaska,,112,1.48,,,0,
Alaska,,100,1.27,,,0,
Alaska,,74,0.82,,,0,
Alaska,,112,1.32,,,0,11
Alaska,,91,1.14,,,0,
Alaska,,101,1.25,,,0,10
Alaska,,83,1.04,,,0,
Alaska,,100,1.12,,0,0,
Alaska,,107,1.15,,,0,
Alaska,,65,0.74,0,0,0,
Alaska,,96,1.13,,,0,11
Alaska,,85,1.01,,,0,11
Alaska,,87,1.04,,,0,
Alaska,,75,1.06,,,0,12
Alaska,,59,0.7,,,0,
Alaska,,49,0.58,,,0,
Alaska,,28,0.32,,,0,
Alaska,0,,0.04,0,0,0,0
Arizona,0,1265,0.99,74,0,13,87
Arizona,0,1263,1.02,79,0,11,90
Arizona,0,1311,1.11,92,0,14,106
Arizona,0,1341,1.11,80,0,11,91
Arizona,0,1352,1.1,80,0,15,95
Arizona,0,1380,1.12,77,0,14,91
Arizona,0,1348,1.1,82,0,11,93
Arizona,,1290,1.07,102,,,112
Arizona,31,1323,1.11,117,19,,134
Arizona,58,1356,1.11,124,32,,154
Arizona,91,1403,1.15,149,52,,192
Arizona,96,1316,1.14,117,43,,171
Arizona,106,1383,1.19,120,42,,185
Arizona,104,1398,1.2,124,46,0,182
Arizona,127,1427,1.24,138,71,0,194
Arizona,118,1306,1.21,128,69,0,177
Arizona,97,1289,1.19,116,52,0,161
Arizona,114,1310,1.17,120,50,,185
Arizona,132,1398,1.27,137,72,0,197
Arizona,172,1463,1.3,158,99,0,231
Arizona,207,1547,1.44,169,108,,269
Arizona,256,1615,1.45,200,137,,320
Arizona,383,1772,1.59,275,211,0,447
Arizona,501,1952,1.79,412,310,0,603
Arizona,545,1993,1.79,410,339,,617
Arizona,471,1858,1.76,344,282,0,533
Arizona,388,1789,1.66,287,221,0,454
Arizona,304,1583,1.49,231,181,,355
Arizona,249,1525,1.49,206,145,0,310
Arizona,173,1502,1.43,144,91,0,226
Arizona,126,1462,1.34,125,70,0,181
Arizona,92,1289,1.17,122,59,0,155
Arizona,60,1279,1.21,87,36,0,111
Arizona,66,1255,1.18,75,29,0,112
Arizona,56,1281,1.19,78,27,0,107
Arizona,35,1195,1.14,81,18,0,98
Arizona,52,1236,1.16,79,28,0,103
Arizona,42,1222,1.11,79,24,0,97
Arizona,63,1272,1.22,92,35,0,120
Arizona,81,1288,1.2,96,38,0,139
Arizona,115,1336,1.18,128,59,0,184
Arizona,97,1081,0.94,95,52,0,140
Arizona,73,820,0.71,91,44,0,120
Arizona,,95,0.08,,,0,
Arkansas,0,681,1.05,56,0,,64
Arkansas,0,673,1.02,50,0,,59
Arkansas,0,688,1.02,38,0,,43
Arkansas,0,695,1.02,53,0,12,65
Arkansas,0,656,1.03,32,0,,39
Arkansas,0,696,1.06,42,0,,51
Arkansas,0,628,0.98,37,0,,41
Arkansas,0,637,1.01,54,0,11,65
Arkansas,,640,1.01,41,,,51
Arkansas,11,606,0.99,52,,0,61
Arkansas,14,635,1,59,,,70
Arkansas,12,635,1.09,49,,0,56
Arkansas,14,614,1.04,46,,0,56
Arkansas,22,630,1.05,40,,0,59
Arkansas,24,661,1.11,45,,,63
Arkansas,,582,0.98,34,,,39
Arkansas,20,642,1.08,43,,0,57
Arkansas,19,610,1.05,37,12,0,44
Arkansas,26,647,1.13,40,12,0,54
Arkansas,34,651,1.06,50,17,0,67
Arkansas,45,705,1.24,46,16,0,75
Arkansas,47,663,1.16,54,21,0,80
Arkansas,40,685,1.17,45,17,0,68
Arkansas,47,660,1.13,53,23,0,77
Arkansas,57,694,1.2,58,25,,91
Arkansas,73,713,1.29,72,35,0,110
Arkansas,86,743,1.37,83,42,0,127
Arkansas,90,733,1.27,80,42,,128
Arkansas,89,764,1.34,78,33,0,134
Arkansas,99,747,1.31,92,49,0,142
Arkansas,95,738,1.32,83,42,0,136
Arkansas,88,710,1.26,76,42,0,122
Arkansas,103,718,1.17,85,48,0,140
Arkansas,81,733,1.25,76,35,0,122
Arkansas,93,743,1.26,82,47,,128
Arkansas,114,778,1.38,94,56,0,152
Arkansas,139,777,1.38,109,80,0,168
Arkansas,140,762,1.3,102,64,,179
Arkansas,144,767,1.22,118,76,0,186
Arkansas,141,752,1.24,97,63,,177
Arkansas,138,787,1.31,80,51,,167
Arkansas,153,728,1.13,78,55,0,176
Arkansas,50,388,0.62,33,17,0,66
Arkansas,,46,0.07,,,0,
California,0,5685,0.98,428,0,60,488
California,,5912,1.05,450,0,68,519
California,0,5584,0.99,428,0,78,506
California,,5795,1.03,462,0,72,535
California,0,5679,0.99,434,0,71,505
California,,5732,1.01,482,0,56,540
California,,5460,0.98,426,,54,485
California,44,5677,1.05,483,19,43,551
California,131,5687,1.06,581,70,28,670
California,289,5981,1.12,631,158,24,786
California,381,6046,1.18,646,222,,810
California,535,6127,1.2,738,325,,955
California,528,5936,1.15,678,295,,914
California,544,5737,1.13,628,294,0,878
California,550,5667,1.14,625,297,,878
California,501,5686,1.15,575,271,,806
California,486,5526,1.12,561,268,,782
California,463,5589,1.13,574,262,,776
California,445,5512,1.1,532,251,,727
California,444,5559,1.12,533,241,,737
California,455,5479,1.1,506,226,,736
California,492,5688,1.18,558,262,,789
California,635,5886,1.21,612,345,0,902
California,737,6027,1.24,718,396,0,1059
California,882,6223,1.31,756,475,0,1163
California,1000,6232,1.3,869,560,,1309
California,1003,6323,1.34,874,570,0,1307
California,986,6284,1.32,851,575,0,1262
California,872,6268,1.33,806,503,0,1175
California,822,6459,1.38,726,466,0,1082
California,721,5854,1.21,666,402,,986
California,605,5758,1.19,632,352,0,885
California,520,5848,1.23,586,295,0,811
California,475,5716,1.19,510,266,0,719
California,446,5522,1.13,532,262,0,716
California,334,5613,1.16,475,189,0,620
California,369,5516,1.13,512,223,,659
California,288,5522,1.11,431,157,0,562
California,287,5223,1.05,410,167,0,530
California,307,5346,1.07,420,164,0,563
California,301,5449,1.07,426,183,0,544
California,287,4782,0.96,384,149,0,522
California,90,2491,0.48,189,52,,228
California,,175,0.03,15,,0,16
Colorado,0,792,0.98,46,0,,52
Colorado,0,846,1.04,50,0,11,61
Colorado,0,807,0.98,49,0,,57
Colorado,0,880,1.09,45,0,,48
Colorado,,842,1.08,57,0,16,74
Colorado,0,821,1.01,51,0,10,61
Colorado,,822,1.02,37,0,11,50
Colorado,16,891,1.11,70,,11,88
Colorado,46,860,1.13,91,27,,117
Colorado,129,967,1.26,159,86,,207
Colorado,214,1096,1.39,190,123,,283
Colorado,218,1106,1.43,161,118,0,261
Colorado,224,1066,1.45,163,111,,276
Colorado,188,997,1.35,138,89,0,237
Colorado,139,905,1.21,109,65,0,183
Colorado,97,883,1.23,88,45,0,140
Colorado,93,847,1.13,64,28,0,129
Colorado,75,833,1.17,66,39,0,102
Colorado,63,820,1.13,57,32,0,88
Colorado,59,813,1.14,63,34,0,88
Colorado,38,860,1.2,59,19,0,78
Colorado,22,876,1.27,44,,0,57
Colorado,25,787,1.09,42,14,0,53
Colorado,29,815,1.18,40,11,0,58
Colorado,43,808,1.18,56,22,0,77
Colorado,33,832,1.2,60,24,0,69
Colorado,36,812,1.14,51,18,0,69
Colorado,39,840,1.2,50,20,0,69
Colorado,28,832,1.18,41,18,0,51
Colorado,19,860,1.19,40,12,0,47
Colorado,29,815,1.15,41,,0,61
Colorado,20,740,1.01,25,,,39
Colorado,33,848,1.15,53,13,0,73
Colorado,21,802,1.1,33,,0,46
Colorado,25,836,1.18,48,10,0,63
Colorado,34,776,1.04,49,13,0,70
Colorado,39,796,1.05,47,17,0,69
Colorado,41,862,1.15,61,22,0,80
Colorado,61,856,1.1,66,29,0,98
Colorado,91,884,1.2,70,41,0,120
Colorado,146,944,1.24,87,59,0,174
Colorado,175,906,1.18,118,92,0,201
Colorado,61,554,0.73,41,28,0,74
Colorado,,57,0.08,,,0,
Connecticut,0,680,1.03,41,0,12,53
Connecticut,0,647,0.93,38,0,,44
Connecticut,0,632,0.95,34,0,13,47
Connecticut,0,647,0.97,35,0,11,46
Connecticut,0,632,1,59,0,,67
Connecticut,0,621,0.98,39,0,,41
Connecticut,0,626,1,36,0,,41
Connecticut,11,660,1.03,44,,,55
Connecticut,48,736,1.16,49,13,,87
Connecticut,212,880,1.35,90,34,,269
Connecticut,512,1252,1.93,162,119,,557
Connecticut,676,1379,2.32,164,127,,715
Connecticut,673,1331,2.12,186,147,0,712
Connecticut,571,1164,2,170,131,0,610
Connecticut,467,1051,1.82,153,118,0,502
Connecticut,382,944,1.69,112,86,0,408
Connecticut,284,814,1.4,90,58,,316
Connecticut,209,749,1.34,68,44,0,233
Connecticut,118,659,1.09,49,19,0,148
Connecticut,86,628,1.13,33,17,0,102
Connecticut,45,571,1.02,29,,0,67
Connecticut,43,590,1.04,41,15,0,69
Connecticut,23,544,0.93,22,,0,44
Connecticut,25,602,1.05,27,,0,46
Connecticut,16,557,0.98,25,,0,38
Connecticut,15,579,1.04,17,,0,30
Connecticut,10,544,0.94,20,,0,28
Connecticut,,584,1.04,25,0,0,34
Connecticut,,562,1.04,23,,0,26
Connecticut,,555,1,18,,0,22
Connecticut,,520,0.93,27,,0,31
Connecticut,,553,0.97,26,,0,32
Connecticut,,561,0.98,25,,0,33
Connecticut,12,563,0.98,29,,0,36
Connecticut,,630,1.11,27,0,0,33
Connecticut,16,579,0.99,22,,0,33
Connecticut,14,549,0.94,26,,0,35
Connecticut,24,479,0.81,29,,0,48
Connecticut,18,440,0.77,23,,0,38
Connecticut,18,317,0.52,23,,0,34
Connecticut,,28,0.05,0,0,0,
Connecticut,,23,0.04,,0,0,
Connecticut,,,0.01,,,0,
Connecticut,0,,0,0,0,0,0
Delaware,0,183,0.99,14,0,0,14
Delaware,0,191,1.02,,0,,
Delaware,0,202,1.03,,0,0,
Delaware,0,194,1,13,0,,14
Delaware,0,164,0.91,,0,,
Delaware,0,200,1.08,13,0,,15
Delaware,0,189,1.02,,0,,12
Delaware,0,221,1.17,16,0,,18
Delaware,,188,0.93,12,,,18
Delaware,,215,1.26,19,,,24
Delaware,24,219,1.22,21,11,0,34
Delaware,40,227,1.19,27,17,0,50
Delaware,64,285,1.71,38,27,0,75
Delaware,74,250,1.59,37,29,0,82
Delaware,64,270,1.65,34,27,0,71
Delaware,75,276,1.67,26,19,0,82
Delaware,49,222,1.3,24,17,0,56
Delaware,49,226,1.38,26,16,0,59
Delaware,23,181,1.07,15,,0,29
Delaware,20,199,1.23,12,,0,24
Delaware,,160,0.95,,,0,11
Delaware,,199,1.16,13,,0,17
Delaware,,201,1.12,15,,0,18
Delaware,,194,1.17,11,,0,13
Delaware,,191,1.05,11,,0,12
Delaware,,199,1.22,,,0,10
Delaware,,195,1.24,,,0,10
Delaware,,196,1.09,12,,0,16
Delaware,,185,1.1,,,0,11
Delaware,,190,1.1,,,0,12
Delaware,,187,1.1,,0,0,
Delaware,,205,1.23,11,,0,14
Delaware,,191,1.14,12,,0,15
Delaware,,156,0.95,,,0,10
Delaware,,193,1.09,12,,0,17
Delaware,12,190,1.11,14,,0,20
Delaware,,164,0.92,,,0,10
Delaware,,162,0.99,,0,0,
Delaware,14,174,1.07,,,0,16
Delaware,19,141,0.84,10,,0,21
Delaware,,129,0.74,,,0,
Delaware,,90,0.46,,,0,10
Delaware,,21,0.12,,0,0,
Delaware,0,0,0,0,0,0,0
District of Columbia,0,143,1.1,11,0,0,11
District of Columbia,0,131,1.01,10,0,0,10
District of Columbia,0,122,0.94,12,0,,13
District of Columbia,0,104,0.94,,0,0,
District of Columbia,0,135,1.11,,0,0,
District of Columbia,0,118,0.96,13,0,,14
District of Columbia,0,114,0.97,,0,,
District of Columbia,,129,1.1,10,,,11
District of Columbia,,130,1.07,20,,,23
District of Columbia,25,156,1.34,37,25,0,37
District of Columbia,37,193,1.69,49,37,,50
District of Columbia,59,202,1.7,68,57,0,70
District of Columbia,90,242,1.9,99,90,0,99
District of Columbia,75,215,1.78,81,75,0,81
District of Columbia,86,214,1.94,93,86,0,93
District of Columbia,71,185,1.74,80,71,0,80
District of Columbia,49,181,1.67,51,46,,55
District of Columbia,42,168,1.47,47,41,0,48
District of Columbia,38,149,1.33,40,36,0,42
District of Columbia,30,147,1.37,35,30,0,35
District of Columbia,28,132,1.21,33,21,0,40
District of Columbia,19,129,1.14,26,18,0,27
District of Columbia,16,122,1.17,18,13,0,21
District of Columbia,,138,1.21,,,0,10
District of Columbia,13,121,1.01,14,,0,18
District of Columbia,,123,1.15,11,,0,12
District of Columbia,10,130,1.16,,,0,14
District of Columbia,,117,1.06,12,,0,14
District of Columbia,,117,1.01,14,,0,14
District of Columbia,11,113,1.03,16,10,0,17
District of Columbia,,137,1.24,15,,0,15
District of Columbia,,140,1.24,15,,0,15
District of Columbia,,124,1.09,13,,0,16
District of Columbia,,105,0.9,,,0,
District of Columbia,,110,0.91,14,,0,16
District of Columbia,10,132,1.25,19,,0,20
District of Columbia,13,135,1.08,18,12,0,19
District of Columbia,,110,0.88,,,0,
District of Columbia,,101,0.82,12,,0,12
District of Columbia,,116,0.98,12,,0,14
District of Columbia,,112,0.87,11,,,14
District of Columbia,,83,0.77,10,,0,12
District of Columbia,,32,0.27,,,0,
District of Columbia,,,0.08,0,0,0,
Florida,0,4419,0.99,245,0,35,280
Florida,0,4385,1,286,0,35,321
Florida,0,4358,1,275,0,25,300
Florida,0,4416,1.04,273,0,33,306
Florida,0,4398,1.04,268,0,33,301
Florida,,4520,1.07,268,,29,298
Florida,,4435,1.06,305,,24,330
Florida,17,4362,1.03,365,,23,396
Florida,92,4461,1.06,369,45,19,434
Florida,219,4497,1.08,484,142,16,575
Florida,303,4545,1.1,437,158,10,592
Florida,310,4416,1.1,441,155,,600
Florida,325,4554,1.14,438,164,,603
Florida,308,4351,1.1,418,170,,558
Florida,290,4407,1.12,385,141,,539
Florida,257,4279,1.1,373,132,0,498
Florida,236,4360,1.15,339,117,,461
Florida,230,4211,1.08,333,112,,452
Florida,222,4264,1.09,330,99,0,453
Florida,193,4256,1.13,312,101,,404
Florida,220,4406,1.14,340,114,,447
Florida,322,4504,1.19,385,177,0,530
Florida,466,4725,1.21,459,226,,700
Florida,782,5083,1.36,596,368,,1011
Florida,1181,5507,1.48,823,570,,1436
Florida,1414,5704,1.54,937,730,,1621
Florida,1514,5793,1.54,1005,773,,1747
Florida,1401,5586,1.49,1028,834,,1596
Florida,1180,5509,1.5,918,677,,1421
Florida,950,5201,1.41,834,567,,1219
Florida,802,5010,1.37,679,467,,1014
Florida,653,4757,1.27,617,385,,887
Florida,519,4506,1.18,567,317,,770
Florida,431,4661,1.22,487,271,0,647
Florida,416,4438,1.17,455,244,0,627
Florida,315,4344,1.13,386,176,,526
Florida,331,4520,1.18,423,203,,551
Florida,327,4372,1.16,422,195,0,554
Florida,289,4305,1.13,389,168,,511
Florida,302,4218,1.09,392,173,0,521
Florida,287,4183,1.07,391,194,,487
Florida,330,3979,1,417,231,,517
Florida,126,2570,0.65,206,83,,250
Florida,,429,0.11,23,,0,28
Georgia,0,1791,1,87,0,,94
Georgia,0,1778,1,93,0,11,104
Georgia,0,1756,1.01,90,0,16,106
Georgia,0,1743,1.04,82,0,21,103
Georgia,0,1856,1.13,90,0,,99
Georgia,,1753,1.04,87,,,98
Georgia,,1780,1.05,105,,,110
Georgia,41,1772,1.06,134,20,,162
Georgia,98,1874,1.1,159,44,,219
Georgia,218,2029,1.25,234,107,,349
Georgia,216,2031,1.25,224,98,,347
Georgia,265,2022,1.24,213,112,,369
Georgia,258,2031,1.23,220,118,,361
Georgia,271,1969,1.19,205,129,,348
Georgia,207,1980,1.25,188,92,,305
Georgia,195,1949,1.24,156,96,,256
Georgia,154,1903,1.23,149,71,0,232
Georgia,143,1764,1.12,116,47,0,212
Georgia,118,1769,1.13,139,53,,205
Georgia,118,1730,1.13,133,56,0,195
Georgia,94,1761,1.13,112,32,0,174
Georgia,128,1803,1.19,121,49,0,200
Georgia,150,1864,1.23,114,54,0,210
Georgia,220,1953,1.28,163,95,0,288
Georgia,294,2146,1.38,210,133,0,371
Georgia,370,2147,1.39,252,168,,454
Georgia,410,2156,1.4,256,185,0,481
Georgia,466,2162,1.41,292,219,0,539
Georgia,422,2211,1.39,304,209,0,517
Georgia,403,2201,1.43,291,208,,488
Georgia,337,2084,1.34,265,174,0,428
Georgia,252,1982,1.31,218,136,0,334
Georgia,254,1997,1.27,211,135,,331
Georgia,218,1849,1.2,200,118,0,300
Georgia,211,1913,1.23,181,105,0,287
Georgia,158,1824,1.15,144,78,0,224
Georgia,162,1783,1.14,142,83,0,221
Georgia,141,1748,1.1,165,81,,225
Georgia,162,1730,1.09,137,77,,222
Georgia,156,1581,0.97,156,91,0,221
Georgia,143,1476,0.9,125,76,0,192
Georgia,125,1119,0.68,111,71,,166
Georgia,30,386,0.23,33,17,0,46
Georgia,,15,0.01,0,0,0,
Hawaii,0,242,1.02,19,0,0,19
Hawaii,0,235,1.1,20,0,0,20
Hawaii,0,281,1.16,23,0,,26
Hawaii,0,249,1.07,17,0,,18
Hawaii,0,238,1.04,14,0,,17
Hawaii,0,239,0.95,19,0,,23
Hawaii,0,243,0.98,18,0,,20
Hawaii,0,212,0.95,16,0,,18
Hawaii,0,235,0.98,15,0,,17
Hawaii,,234,1,14,,,20
Hawaii,,221,0.99,18,,,20
Hawaii,,211,1.01,,0,0,10
Hawaii,,200,0.92,,,0,12
Hawaii,,222,1.02,18,,0,19
Hawaii,0,210,0.93,12,0,0,12
Hawaii,0,230,1.02,13,0,0,13
Hawaii,0,208,0.94,11,0,,12
Hawaii,0,200,0.96,11,0,0,11
Hawaii,0,217,1.02,11,0,0,11
Hawaii,0,203,0.85,10,0,0,10
Hawaii,0,245,1.07,12,0,0,12
Hawaii,,236,1.1,,0,0,10
Hawaii,,206,1,,0,0,
Hawaii,,225,0.98,,0,0,
Hawaii,,207,0.99,13,,0,15
Hawaii,,218,0.98,,0,0,10
Hawaii,,216,1.07,11,0,0,12
Hawaii,,231,1.09,12,,0,14
Hawaii,13,222,1.07,16,,0,25
Hawaii,13,242,1.17,15,,0,23
Hawaii,32,254,1.17,27,18,0,41
Hawaii,29,233,1.12,18,12,0,35
Hawaii,33,271,1.14,31,18,0,46
Hawaii,32,242,1.14,22,11,0,43
Hawaii,26,242,1.17,21,14,0,33
Hawaii,20,213,0.99,22,12,,31
Hawaii,20,232,1.17,22,10,0,32
Hawaii,18,233,1.08,19,,0,28
Hawaii,14,232,1.2,11,,0,20
Hawaii,11,235,1.11,18,,0,21
Hawaii,,229,1.03,13,,0,15
Hawaii,,233,1.09,13,,0,15
Hawaii,,123,0.57,,,0,
Hawaii,0,,0.02,0,0,0,0
Idaho,0,249,0.88,11,0,,12
Idaho,0,293,1.04,18,0,,20
Idaho,0,279,0.89,11,0,,12
Idaho,0,318,1.1,17,0,,21
Idaho,0,289,0.99,17,0,,20
Idaho,0,278,0.96,17,0,,20
Idaho,0,282,1.04,18,0,,21
Idaho,0,308,1.03,22,0,,26
Idaho,,332,1.27,15,,,21
Idaho,,271,0.94,15,,,22
Idaho,22,306,1.07,18,,0,35
Idaho,12,283,1.01,13,,0,20
Idaho,12,262,1.01,15,,0,24
Idaho,,252,0.96,14,,0,16
Idaho,,304,1.17,,,,13
Idaho,,269,0.99,11,,0,15
Idaho,,262,0.98,11,,0,17
Idaho,,279,1.03,,0,0,12
Idaho,,292,1.11,,0,0,
Idaho,,287,1.08,10,,0,13
Idaho,0,282,1.04,12,0,0,12
Idaho,,296,1.17,14,,0,17
Idaho,,281,1.07,15,0,0,19
Idaho,15,287,1.11,,,0,20
Idaho,26,312,1.25,16,,0,38
Idaho,45,328,1.31,27,23,0,49
Idaho,49,327,1.32,33,22,0,60
Idaho,40,312,1.18,22,15,0,47
Idaho,32,319,1.3,23,12,0,43
Idaho,57,360,1.42,30,23,0,64
Idaho,28,327,1.27,24,11,0,41
Idaho,38,352,1.33,31,17,0,52
Idaho,25,321,1.25,19,11,0,33
Idaho,19,320,1.15,12,,0,26
Idaho,25,290,1.06,17,13,0,29
Idaho,30,327,1.24,22,13,0,39
Idaho,25,299,1.19,17,14,0,28
Idaho,37,323,1.15,22,13,,46
Idaho,43,339,1.26,31,21,,53
Idaho,68,346,1.29,40,26,,82
Idaho,74,356,1.29,42,33,0,83
Idaho,70,375,1.38,40,29,0,81
Idaho,26,196,0.81,18,11,0,33
Idaho,0,47,0.18,,0,0,
Illinois,0,2138,0.97,155,0,16,171
Illinois,0,2231,0.99,157,0,10,167
Illinois,0,2217,1.01,143,0,11,154
Illinois,0,2206,1,143,0,14,157
Illinois,0,2207,1.04,140,0,19,159
Illinois,0,2253,1.06,173,0,27,200
Illinois,,2192,1.03,167,,20,187
Illinois,14,2281,1.06,169,,22,200
Illinois,73,2303,1.11,235,44,16,279
Illinois,296,2621,1.25,370,177,,495
Illinois,469,2868,1.38,424,253,,645
Illinois,588,2912,1.45,504,323,,774
Illinois,676,3009,1.5,458,325,,810
Illinois,741,2949,1.46,530,377,0,894
Illinois,788,2961,1.52,528,397,0,919
Illinois,696,2864,1.45,431,315,,814
