State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
Pennsylvania,123,2653,1.11,122,39,0,206
Pennsylvania,98,2627,1.1,145,38,0,205
Pennsylvania,103,2577,1.07,143,43,0,203
Pennsylvania,84,2593,1.08,123,26,0,181
Pennsylvania,99,2605,1.06,124,30,0,193
Pennsylvania,92,2602,1.05,136,29,0,199
Pennsylvania,94,2652,1.08,119,32,0,181
Pennsylvania,125,2652,1.05,148,46,0,227
Pennsylvania,148,2737,1.1,151,53,0,246
Pennsylvania,152,2630,1.01,143,56,0,239
Pennsylvania,172,2703,1.03,195,77,0,290
Pennsylvania,188,2641,1.02,175,76,0,287
Pennsylvania,300,2809,1.09,256,127,,430
Pennsylvania,376,2781,1.03,299,180,,496
Pennsylvania,315,1773,0.6,214,155,0,374
Pennsylvania,15,69,0.03,15,13,0,17
Rhode Island,0,220,1.01,,0,,10
Rhode Island,0,244,1.04,,0,,
Rhode Island,0,183,0.82,11,0,,15
Rhode Island,0,206,1.03,,0,,
Rhode Island,0,235,1.11,13,0,,14
Rhode Island,0,254,1.16,19,0,,21
Rhode Island,0,196,0.97,10,0,,13
Rhode Island,0,220,1.05,18,0,,21
Rhode Island,,199,1.02,12,,0,14
Rhode Island,22,235,1.09,18,,,36
Rhode Island,51,246,1.26,30,17,,65
Rhode Island,94,273,1.32,47,39,0,102
Rhode Island,104,297,1.47,50,39,0,115
Rhode Island,124,332,1.49,63,47,,141
Rhode Island,134,381,1.98,56,47,0,143
Rhode Island,114,302,1.45,57,48,0,123
Rhode Island,104,279,1.46,57,43,0,118
Rhode Island,71,254,1.53,37,31,0,77
Rhode Island,56,241,1.21,31,21,0,66
Rhode Island,27,209,1.13,18,,0,37
Rhode Island,33,235,1.21,20,14,0,39
Rhode Island,24,201,1.04,21,11,0,34
Rhode Island,19,177,0.93,17,,0,28
Rhode Island,12,191,1.04,13,,0,22
Rhode Island,,190,0.97,,,0,14
Rhode Island,,173,0.97,15,,0,19
Rhode Island,,199,1.13,,,0,
Rhode Island,,208,1.18,14,,0,19
Rhode Island,,209,1.13,,,0,15
Rhode Island,16,198,1.02,14,,0,25
Rhode Island,,185,0.96,,,0,12
Rhode Island,,207,1.05,,,0,15
Rhode Island,,191,1.01,10,,0,13
Rhode Island,15,195,1,18,,0,24
Rhode Island,11,206,1.05,13,,0,19
Rhode Island,10,217,1.13,14,,0,18
Rhode Island,19,211,1.12,17,14,0,22
Rhode Island,25,205,1,15,10,0,30
Rhode Island,19,186,0.98,20,11,0,28
Rhode Island,26,184,0.94,21,15,0,32
Rhode Island,21,169,0.89,21,15,0,27
Rhode Island,16,99,0.48,12,,0,19
Rhode Island,,16,0.08,,,0,
Rhode Island,0,0,0,0,0,0,0
South Carolina,0,1032,0.99,59,0,11,70
South Carolina,0,1096,1.07,60,0,17,77
South Carolina,0,1003,0.99,69,0,16,85
South Carolina,0,1035,1.05,48,0,,56
South Carolina,0,1044,1.1,59,0,,67
South Carolina,0,1133,1.15,67,0,,75
South Carolina,0,1103,1.13,54,0,,63
South Carolina,,1066,1.07,57,,10,67
South Carolina,19,1038,1.08,78,,,96
South Carolina,36,1048,1.08,82,18,,101
South Carolina,57,1138,1.19,81,19,,121
South Carolina,47,1049,1.15,73,14,,107
South Carolina,61,1022,1.12,77,23,0,115
South Carolina,63,1032,1.12,90,21,,132
South Carolina,72,1060,1.17,97,35,0,134
South Carolina,67,1109,1.17,73,30,0,110
South Carolina,59,1045,1.14,58,22,,96
South Carolina,65,1048,1.15,73,24,0,114
South Carolina,64,1037,1.14,80,25,0,119
South Carolina,48,1078,1.21,74,18,0,104
South Carolina,57,1052,1.14,71,22,0,106
South Carolina,84,1100,1.23,83,30,,138
South Carolina,129,1195,1.35,103,54,0,178
South Carolina,145,1217,1.41,110,56,0,199
South Carolina,227,1331,1.48,148,85,0,290
South Carolina,320,1352,1.5,193,141,0,372
South Carolina,285,1327,1.48,187,130,,342
South Carolina,266,1367,1.47,191,122,0,335
South Carolina,239,1317,1.48,151,102,0,288
South Carolina,206,1179,1.37,129,89,0,246
South Carolina,200,1235,1.37,154,97,0,257
South Carolina,180,1238,1.38,130,77,,233
South Carolina,142,1186,1.32,113,66,,189
South Carolina,132,1140,1.26,105,58,0,179
South Carolina,121,1149,1.24,114,56,0,179
South Carolina,105,1136,1.23,103,51,0,157
South Carolina,89,1126,1.27,73,36,0,126
South Carolina,114,1047,1.16,110,60,0,164
South Carolina,117,1123,1.19,104,57,0,164
South Carolina,110,1162,1.22,106,57,,159
South Carolina,46,862,0.92,48,20,0,74
South Carolina,,590,0.61,30,,,37
South Carolina,,297,0.31,19,,0,21
South Carolina,0,0,0,0,0,0,0
South Dakota,0,162,0.94,10,0,0,10
South Dakota,0,150,0.89,15,0,,18
South Dakota,0,178,1.07,11,0,,14
South Dakota,0,177,1.06,11,0,,13
South Dakota,0,163,0.95,,0,,13
South Dakota,0,194,1.12,20,0,,23
South Dakota,,166,0.99,11,0,,15
South Dakota,0,162,1.03,12,0,0,12
South Dakota,,149,0.95,15,0,0,16
South Dakota,,170,1.06,18,,,21
South Dakota,,149,0.93,12,0,,14
South Dakota,,152,0.95,,0,,11
South Dakota,,175,1.21,12,,,16
South Dakota,16,159,0.97,15,,,26
South Dakota,15,181,1.17,18,,0,27
South Dakota,,146,1.05,10,,,16
South Dakota,,162,1.06,15,,0,20
South Dakota,10,157,1.06,14,,0,20
South Dakota,,147,0.91,11,,0,14
South Dakota,11,159,1.06,14,,0,18
South Dakota,12,175,1.21,11,,0,18
South Dakota,10,163,1.09,,,0,12
South Dakota,,160,1.03,11,,0,14
South Dakota,14,172,1.2,17,,0,24
South Dakota,,158,1.11,13,,0,16
South Dakota,15,173,1.17,18,,0,26
South Dakota,,149,0.98,11,,0,16
South Dakota,,186,1.21,10,,0,17
South Dakota,11,161,1.09,17,,0,22
South Dakota,10,164,1.15,18,,,22
South Dakota,13,184,1.22,11,,0,21
South Dakota,18,207,1.42,20,10,0,28
South Dakota,20,182,1.17,12,10,0,22
South Dakota,26,177,1.13,19,12,0,33
South Dakota,35,188,1.27,26,18,0,43
South Dakota,41,202,1.27,25,17,0,49
South Dakota,43,206,1.22,33,21,0,55
South Dakota,53,188,1.1,32,23,0,62
South Dakota,54,226,1.42,26,14,,67
South Dakota,82,214,1.27,36,32,0,86
South Dakota,122,286,1.8,56,51,0,127
South Dakota,63,156,1.02,26,19,0,70
South Dakota,,,0.05,,,0,
South Dakota,0,0,0,0,0,0,0
Tennessee,0,1589,1.04,127,0,13,140
Tennessee,0,1611,1.01,126,0,15,141
Tennessee,0,1454,0.94,116,0,15,131
Tennessee,0,1513,1.01,97,0,10,107
Tennessee,0,1501,1.02,114,0,16,130
Tennessee,0,1611,1.11,121,0,13,134
Tennessee,0,1598,1.08,109,0,12,121
Tennessee,,1526,1.05,116,,,125
Tennessee,11,1527,1.04,125,,,138
Tennessee,55,1592,1.08,138,21,,181
Tennessee,53,1512,1.04,143,31,,168
Tennessee,43,1540,1.1,119,18,0,144
Tennessee,31,1481,1.02,110,,0,133
Tennessee,35,1492,1.07,108,15,,129
Tennessee,48,1486,1.08,101,13,0,136
Tennessee,57,1543,1.12,108,22,,145
Tennessee,32,1556,1.13,107,11,0,128
Tennessee,46,1466,1.06,108,16,0,138
Tennessee,37,1484,1.06,102,13,0,126
Tennessee,36,1497,1.11,99,13,,123
Tennessee,59,1564,1.14,99,19,,140
Tennessee,63,1561,1.18,113,23,,154
Tennessee,75,1530,1.1,97,23,0,149
Tennessee,106,1626,1.2,152,58,0,200
Tennessee,118,1646,1.21,143,62,,200
Tennessee,157,1707,1.25,177,74,,261
Tennessee,173,1710,1.23,181,97,0,257
Tennessee,176,1704,1.27,173,89,,261
Tennessee,175,1669,1.28,183,96,0,262
Tennessee,139,1679,1.24,167,67,0,239
Tennessee,180,1708,1.27,191,93,0,278
Tennessee,148,1610,1.17,149,69,0,228
Tennessee,184,1714,1.23,187,100,0,271
Tennessee,155,1611,1.19,183,92,,247
Tennessee,168,1736,1.27,203,99,0,272
Tennessee,132,1715,1.25,158,72,0,218
Tennessee,177,1744,1.29,178,102,,254
Tennessee,217,1732,1.26,195,112,,302
Tennessee,225,1732,1.19,227,111,,341
Tennessee,236,1725,1.26,218,135,0,319
Tennessee,247,1634,1.15,201,127,,323
Tennessee,220,1485,1.02,171,111,0,280
Tennessee,124,856,0.58,92,68,,149
Tennessee,,76,0.05,,,0,11
Texas,0,4172,0.97,276,0,30,306
Texas,0,4320,1.01,285,0,37,322
Texas,0,4342,1.03,300,0,45,345
Texas,0,4217,1.02,282,0,35,317
Texas,,4144,1.02,302,0,39,342
Texas,,4171,1,277,0,40,318
Texas,0,4168,1.03,310,0,34,344
Texas,,4251,1.06,333,,23,361
Texas,44,4255,1.09,347,14,17,392
Texas,130,4185,1.1,371,50,,457
Texas,205,4264,1.1,409,79,,539
Texas,237,4288,1.12,416,114,,542
Texas,243,4461,1.17,343,96,,497
Texas,236,4262,1.12,368,103,,508
Texas,228,4276,1.15,357,104,,483
Texas,252,4279,1.14,365,112,,506
Texas,171,4252,1.15,346,81,,440
Texas,217,4149,1.11,352,113,,460
Texas,181,4228,1.12,312,75,,419
Texas,226,4390,1.19,317,94,,449
Texas,304,4500,1.21,398,142,,560
Texas,441,4562,1.24,414,174,,683
Texas,807,5028,1.37,591,374,0,1024
Texas,1270,5752,1.59,934,674,,1534
Texas,1747,6249,1.72,1174,920,,2002
Texas,1883,6290,1.71,1185,931,,2137
Texas,1721,5931,1.58,1171,917,,1976
Texas,1482,5687,1.54,998,767,,1715
Texas,1365,5758,1.57,986,747,,1606
Texas,995,5003,1.34,773,551,,1217
Texas,844,5101,1.4,725,489,,1081
Texas,688,4898,1.33,581,365,0,904
Texas,562,4613,1.25,513,303,,773
Texas,513,4548,1.26,500,267,0,746
Texas,500,4470,1.21,499,277,,723
Texas,425,4508,1.19,470,241,,656
Texas,478,4569,1.2,500,281,,698
Texas,526,4365,1.14,500,282,,745
Texas,624,4517,1.17,563,354,,834
Texas,718,4564,1.16,585,389,,919
Texas,602,4176,1.06,537,344,,796
Texas,300,2721,0.69,261,163,,399
Texas,43,821,0.2,66,24,0,85
Texas,0,,0,0,0,0,0
Utah,0,362,0.98,18,0,,20
Utah,0,313,0.81,18,0,,21
Utah,0,411,1.12,14,0,,19
Utah,0,366,0.95,16,0,,22
Utah,0,396,1.02,31,0,,34
Utah,0,403,1,30,0,,33
Utah,0,405,1.09,22,0,,27
Utah,0,410,1.08,29,0,,36
Utah,,394,1.12,34,0,,42
Utah,11,408,1.14,33,,0,39
Utah,,382,1.01,16,,,22
Utah,,387,1.02,20,,0,22
Utah,16,404,1.14,19,,0,31
Utah,12,379,1.06,13,,,24
Utah,18,371,1.02,21,11,0,28
Utah,17,403,1.13,19,,0,31
Utah,15,375,1,24,,0,32
Utah,12,390,1.11,20,,0,27
Utah,12,405,1.1,19,,0,28
Utah,20,387,1.09,22,,0,35
Utah,15,400,1.15,24,,0,34
Utah,13,386,1.1,26,,0,34
Utah,21,438,1.25,25,,0,41
Utah,36,407,1.2,26,,0,53
Utah,30,434,1.2,19,,0,42
Utah,44,435,1.29,30,17,0,57
Utah,26,434,1.24,33,16,0,43
Utah,29,449,1.32,25,,0,45
Utah,31,448,1.31,25,,0,49
Utah,18,420,1.19,24,,0,36
Utah,11,375,1.1,19,,0,24
Utah,19,364,1.03,30,11,0,38
Utah,12,380,1.12,23,,0,30
Utah,,398,1.13,21,,0,26
Utah,23,439,1.23,19,,0,36
Utah,28,393,1.12,41,14,0,55
Utah,43,442,1.21,36,20,0,59
Utah,36,423,1.14,32,17,,52
Utah,37,434,1.22,36,18,0,55
Utah,45,457,1.24,39,24,0,60
Utah,66,446,1.26,48,32,0,82
Utah,61,435,1.24,37,19,0,79
Utah,13,328,0.84,20,,0,27
Utah,,69,0.18,,0,0,
Vermont,0,105,0.85,,0,,
Vermont,0,112,0.94,,0,,
Vermont,0,126,1.11,,0,,
Vermont,0,107,0.94,,0,,
Vermont,0,137,1.31,13,0,,14
Vermont,0,137,0.91,,0,,
Vermont,0,140,1.28,11,0,,13
Vermont,,135,1.14,10,,,13
Vermont,,106,0.93,14,,0,21
Vermont,12,148,1.25,13,,0,20
Vermont,,109,0.91,,,,12
Vermont,11,129,1.14,11,,0,20
Vermont,11,120,1.06,,,0,17
Vermont,,121,1.06,,0,0,
Vermont,,112,1.22,,,0,
Vermont,,103,1.05,,0,0,
Vermont,0,103,0.98,,0,0,
Vermont,,131,1.33,,0,0,
Vermont,0,128,1.13,,0,0,
Vermont,0,103,0.9,,0,0,
Vermont,,90,0.87,,0,0,
Vermont,0,124,1.27,,0,0,
Vermont,0,108,0.82,,0,0,
Vermont,,112,1.22,,0,0,
Vermont,0,87,0.9,,0,0,
Vermont,0,115,1.17,,0,0,
Vermont,,124,0.98,,0,0,
Vermont,0,102,1.03,0,0,0,0
Vermont,0,104,0.99,,0,0,
Vermont,0,117,1.27,,0,0,
Vermont,0,100,0.98,,0,0,
Vermont,0,124,1.18,,0,0,
Vermont,0,113,1.13,,0,0,
Vermont,0,113,1.15,,0,0,
Vermont,0,120,1.14,,0,0,
Vermont,0,126,1.03,0,0,0,0
Vermont,0,118,1.13,,0,0,
Vermont,0,100,0.88,,0,0,
Vermont,0,122,1.1,,0,0,
Vermont,0,117,1.04,,0,0,
Vermont,,124,0.95,,0,0,
Vermont,0,120,1.06,,0,0,
Vermont,,89,0.88,,0,0,
Vermont,0,21,0.2,,0,0,
Virginia,0,1479,1.05,73,0,,82
Virginia,0,1524,1.04,62,0,11,73
Virginia,0,1377,0.99,58,0,,67
Virginia,0,1444,1.03,71,0,,76
Virginia,0,1387,0.99,65,0,17,82
Virginia,0,1479,1.08,72,0,,80
Virginia,,1435,1.06,65,0,18,84
Virginia,,1454,1.04,73,,,84
Virginia,28,1517,1.12,102,,,133
Virginia,58,1467,1.08,108,27,,145
Virginia,102,1619,1.2,137,35,,207
Virginia,195,1601,1.23,142,72,,267
Virginia,221,1630,1.27,130,66,,286
Virginia,251,1668,1.3,163,101,,315
Virginia,234,1592,1.26,118,65,,289
Virginia,199,1565,1.26,107,61,0,245
Virginia,168,1462,1.17,102,58,0,212
Virginia,159,1442,1.13,99,49,,210
Virginia,104,1410,1.12,89,36,0,157
Virginia,109,1423,1.12,105,45,0,169
Virginia,86,1290,1.05,75,33,0,128
Virginia,79,1457,1.19,60,21,0,118
Virginia,56,1393,1.13,64,21,0,99
Virginia,67,1485,1.18,75,29,0,113
Virginia,97,1388,1.14,99,34,,163
Virginia,88,1461,1.21,84,37,0,135
Virginia,102,1452,1.19,88,38,,153
Virginia,88,1509,1.2,82,34,0,136
Virginia,102,1454,1.18,93,37,0,158
Virginia,124,1452,1.18,98,57,0,165
Virginia,109,1449,1.17,114,56,0,167
Virginia,120,1478,1.2,105,46,0,179
Virginia,115,1462,1.18,90,37,,169
Virginia,118,1453,1.13,96,46,0,168
Virginia,88,1474,1.17,74,36,0,126
Virginia,90,1502,1.19,95,41,0,144
Virginia,94,1456,1.16,96,40,0,150
Virginia,97,1420,1.08,93,39,,151
Virginia,117,1458,1.12,79,38,,158
Virginia,121,1502,1.13,116,56,0,181
Virginia,118,1533,1.19,103,38,0,183
Virginia,104,1311,1,84,43,,146
Virginia,56,816,0.62,55,32,,80
Virginia,,57,0.04,,0,0,
Washington,0,1198,1.02,71,0,,78
Washington,0,1176,0.99,72,0,,80
Washington,0,1179,0.97,85,0,11,96
Washington,0,1116,0.95,69,0,,74
Washington,,1134,0.96,81,,,92
Washington,21,1208,1.05,100,14,16,122
Washington,27,1164,1,90,16,,109
Washington,63,1224,1.03,120,26,17,173
Washington,120,1293,1.17,165,61,,231
Washington,158,1304,1.14,162,85,,243
Washington,147,1304,1.16,141,85,0,203
Washington,123,1251,1.16,129,70,,186
Washington,107,1230,1.19,108,52,,164
Washington,78,1155,1.06,97,41,,136
Washington,86,1211,1.12,88,44,,132
Washington,71,1138,1.04,94,36,,131
Washington,48,1115,1.1,70,24,0,94
Washington,36,1057,1.01,65,20,0,81
Washington,34,1054,0.99,47,17,0,64
Washington,43,1101,1.07,65,24,,85
Washington,31,1131,1.1,62,14,0,79
Washington,39,1084,1.04,55,18,0,76
Washington,44,1124,1.06,75,22,0,97
Washington,56,1157,1.08,85,30,0,111
Washington,52,1176,1.14,70,28,0,94
Washington,76,1175,1.15,84,36,,125
Washington,92,1227,1.19,87,38,,142
Washington,82,1225,1.18,86,35,0,133
Washington,75,1168,1.13,76,33,0,118
Washington,52,1193,1.19,81,26,0,107
Washington,46,1110,1.09,65,26,0,85
Washington,42,1227,1.17,61,16,0,87
Washington,31,1140,1.13,71,17,0,85
Washington,44,1171,1.14,94,28,,111
Washington,44,1160,1.14,76,27,0,93
Washington,46,1133,1.08,77,20,0,103
Washington,40,1153,1.06,72,28,,86
Washington,42,1135,1.07,75,23,0,94
Washington,65,1163,1.04,95,33,0,127
Washington,58,1001,0.9,72,28,0,102
Washington,29,653,0.6,42,14,0,57
Washington,57,1044,0.95,85,33,0,109
Washington,23,678,0.62,39,11,0,51
Washington,,85,0.08,,,0,
West Virginia,0,479,1.02,33,0,,35
West Virginia,0,481,1.03,34,0,,39
West Virginia,0,478,1.03,36,0,,43
West Virginia,0,465,1.07,26,0,,35
West Virginia,0,458,1.01,42,0,,44
West Virginia,0,483,1.07,29,0,,36
West Virginia,0,472,1.03,36,0,,44
West Virginia,0,470,0.99,37,0,,46
West Virginia,,489,1.03,25,0,,33
West Virginia,,453,0.99,44,0,,50
West Virginia,,496,1.07,47,,,56
West Virginia,11,375,0.86,25,,,36
West Virginia,16,435,1.04,28,,0,39
West Virginia,16,463,1.05,35,,0,44
West Virginia,,441,1.07,25,0,0,29
West Virginia,14,473,1.14,40,,0,48
West Virginia,,430,1.06,32,,0,36
West Virginia,,412,0.95,31,,0,35
West Virginia,,402,0.97,25,,0,28
West Virginia,,446,1.07,28,,0,28
West Virginia,,416,1.02,27,0,0,29
West Virginia,,454,1.09,33,,0,34
West Virginia,,417,1.01,29,,0,29
West Virginia,,428,1.06,16,0,0,17
West Virginia,,418,1.1,27,,0,30
West Virginia,,488,1.18,37,,0,43
West Virginia,17,449,1.17,29,,0,42
West Virginia,19,459,1.2,37,,0,50
West Virginia,14,402,0.97,26,,0,33
West Virginia,30,415,1.04,23,,0,45
West Virginia,27,381,0.96,23,10,0,40
West Virginia,26,413,0.99,42,11,0,57
West Virginia,21,432,1.02,25,,0,37
West Virginia,33,437,1.08,40,12,0,61
West Virginia,21,435,1.06,32,10,0,43
West Virginia,19,341,0.79,22,,0,36
West Virginia,30,287,0.65,33,18,0,45
West Virginia,17,219,0.51,18,,0,26
West Virginia,16,241,0.56,29,,0,37
West Virginia,12,116,0.26,10,,0,16
West Virginia,,31,0.07,,,0,
West Virginia,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0
Wisconsin,0,1176,1.05,65,0,,68
Wisconsin,0,1055,0.95,53,0,,58
Wisconsin,0,1125,1.04,76,0,12,88
Wisconsin,0,1161,1.13,57,0,14,71
Wisconsin,0,1136,1.09,55,0,16,71
Wisconsin,0,1116,1.06,62,0,16,78
Wisconsin,0,1105,1.05,56,0,32,88
Wisconsin,,1115,1.04,75,,19,98
Wisconsin,19,1146,1.11,73,,14,105
Wisconsin,77,1221,1.16,92,12,,164
Wisconsin,76,1170,1.12,75,16,,143
Wisconsin,75,1150,1.14,54,12,,118
Wisconsin,47,1026,1.03,57,,0,101
Wisconsin,72,1162,1.16,62,,0,125
Wisconsin,57,1080,1.05,52,16,,95
Wisconsin,55,1022,1.05,52,10,,98
Wisconsin,65,1075,1.08,54,19,0,100
Wisconsin,88,1138,1.19,52,11,0,129
Wisconsin,46,1043,1.09,46,,0,84
Wisconsin,41,1025,1.1,39,,0,72
Wisconsin,37,1085,1.14,46,,0,79
Wisconsin,35,1034,1.04,40,,0,72
Wisconsin,23,1066,1.11,39,,0,59
Wisconsin,19,1047,1.07,40,,0,53
Wisconsin,35,1037,1.09,40,,0,69
Wisconsin,52,1101,1.12,44,11,0,85
Wisconsin,48,1057,1.13,49,,0,89
Wisconsin,60,1098,1.1,59,16,0,103
Wisconsin,46,1124,1.19,51,12,0,85
Wisconsin,38,1058,1.12,52,13,0,77
Wisconsin,42,1078,1.07,53,16,0,79
Wisconsin,40,1037,1.06,49,11,0,78
Wisconsin,47,1064,1.07,50,14,0,83
Wisconsin,37,1138,1.17,55,20,0,72
Wisconsin,60,1100,1.12,43,23,0,80
Wisconsin,84,1155,1.17,70,36,0,118
Wisconsin,120,1158,1.13,72,48,0,144
Wisconsin,192,1236,1.17,113,70,0,235
Wisconsin,271,1379,1.31,135,83,0,323
Wisconsin,338,1415,1.36,159,103,0,394
Wisconsin,403,1542,1.48,200,151,0,452
Wisconsin,431,1502,1.44,203,149,0,485
Wisconsin,196,817,0.77,86,65,0,217
Wisconsin,,67,0.07,,,0,
Wyoming,0,94,1.06,,0,,
Wyoming,0,97,1.06,13,0,,14
Wyoming,0,75,0.8,,0,,
Wyoming,0,101,1.17,,0,,
Wyoming,0,100,1.11,,0,0,
Wyoming,0,80,0.83,10,0,,11
Wyoming,0,85,0.91,,0,0,
Wyoming,0,117,1.26,,0,,
Wyoming,0,88,1.02,,0,,11
Wyoming,0,123,1.4,10,0,0,10
Wyoming,,102,1.23,,0,0,10
Wyoming,,89,1.04,,,0,
Wyoming,,98,1.24,10,,0,11
Wyoming,0,68,0.78,,0,0,
Wyoming,0,83,0.87,,0,0,
Wyoming,,101,1.15,,0,0,
Wyoming,,96,1.09,,,0,
Wyoming,,84,1.1,,0,0,
Wyoming,,105,1.32,,0,0,
Wyoming,,96,1.23,,,0,
Wyoming,,93,1.13,,,0,
Wyoming,0,89,1.1,,0,0,
Wyoming,0,102,1.16,,0,0,
Wyoming,,104,1.26,,0,0,
Wyoming,,101,1.22,,0,0,
Wyoming,,95,1.12,,,0,
Wyoming,,90,1.08,,0,0,
Wyoming,,106,1.24,,,0,11
Wyoming,,113,1.41,,0,0,
Wyoming,,100,1.22,,,0,
Wyoming,0,89,1.12,,0,0,
Wyoming,,107,1.13,,,0,
Wyoming,,121,1.34,,,0,
Wyoming,,94,1.14,10,,0,11
Wyoming,,112,1.23,,,0,
Wyoming,,119,1.54,,,0,10
Wyoming,,101,1.15,,,0,
Wyoming,12,106,1.15,,,0,13
Wyoming,22,131,1.44,13,,0,28
Wyoming,27,104,1.19,12,,0,30
Wyoming,39,129,1.58,26,17,0,48
Wyoming,23,85,0.86,,,0,24
Wyoming,,38,0.43,,,0,
Wyoming,0,0,0,0,0,0,0
Puerto Rico,0,583,0.95,76,0,,81
Puerto Rico,0,601,0.99,90,0,,95
Puerto Rico,0,616,1.02,83,0,,89
Puerto Rico,0,611,1.06,86,0,,91
Puerto Rico,0,616,1,83,0,,91
Puerto Rico,0,613,1.04,94,0,,99
Puerto Rico,0,594,1.03,69,0,,73
Puerto Rico,,627,1.09,87,,,91
Puerto Rico,11,638,1.18,87,,,92
Puerto Rico,18,579,1.06,87,10,,97
Puerto Rico,22,593,1.1,86,11,0,97
Puerto Rico,20,557,1.06,72,10,,84
Puerto Rico,18,541,1,70,,,84
Puerto Rico,14,539,1,63,,,75
Puerto Rico,10,562,1.03,64,,,70
Puerto Rico,,538,0.95,46,,,50
Puerto Rico,,550,0.97,60,,0,63
Puerto Rico,,556,1.04,56,,,59
Puerto Rico,,572,1.05,55,,0,56
Puerto Rico,,550,0.95,53,,,56
Puerto Rico,,583,1.07,50,,0,52
Puerto Rico,,528,0.95,41,0,,44
Puerto Rico,,529,0.94,45,,0,47
Puerto Rico,10,573,1.03,60,,,65
Puerto Rico,13,585,1.07,66,,,75
Puerto Rico,26,603,1.14,66,15,0,77
Puerto Rico,36,629,1.17,73,17,0,92
Puerto Rico,40,644,1.23,80,23,0,97
Puerto Rico,66,648,1.18,115,46,0,135
Puerto Rico,47,682,1.32,87,33,,102
Puerto Rico,27,594,1.11,86,19,,95
Puerto Rico,44,616,1.17,89,28,,106
Puerto Rico,68,613,1.09,94,46,0,116
Puerto Rico,45,584,0.99,84,28,,103
Puerto Rico,45,590,0.88,85,31,0,99
Puerto Rico,47,558,0.92,104,37,,114
Puerto Rico,40,547,0.98,77,30,,88
Puerto Rico,38,483,0.83,62,21,0,79
Puerto Rico,36,317,0.54,49,23,0,62
Puerto Rico,26,232,0.42,33,16,0,43
Puerto Rico,44,244,0.43,50,32,0,62
Puerto Rico,51,122,0.21,45,35,0,61
Puerto Rico,44,48,0.08,37,35,0,46
Puerto Rico,,,0,,,0,
